"SURVEY","YEAR","REGULATORY_AREA_NAME","SPECIES_CODE","HAUL_COUNT","CATCH_COUNT","MEAN_WGT_CPUE","VAR_WGT_CPUE","MEAN_NUM_CPUE","VAR_NUM_CPUE","AREA_BIOMASS","BIOMASS_VAR","MIN_BIOMASS","MAX_BIOMASS","AREA_POP","POP_VAR","MIN_POP","MAX_POP"
"GOA",2009,"CENTRAL GOA",30030,470,7,12.74027249645073648069586922579686104131,20.74534369218013982396557200709738502456,75.68160543880017678974207089613587317858,683.350553984847307550547562926211428963,2160.2,596310.8795869897094491347716552151664396,17,4304,12831366,19642449696630.58433320447704139007925516,528189,25134543
"GOA",2009,"CENTRAL GOA",30051,470,106,122.575196597133076158558006481374346133,1193.328343405217387634249136018606167112,127.770822910738361887077908607290871673,644.589931453682912764308928587203588915,20783.6,34301416.48413772830984661852148321352034,8947,32620,21663673,18528301806007.28208219290787712964047838,12964377,30362969
"GOA",2009,"CENTRAL GOA",30190,470,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"CENTRAL GOA",30560,470,14,3.85846829806772218751784039485173633966,2.63253966143443947526217960937424547606,14.46584938599491424846390569209920513213,34.53159839535967491614142765498599497702,654.6,75670.5728451893517885858280271063699696,93,1216,2452350,992587450862.2146982088270958946850334638,417932,4486768
"GOA",2009,"CENTRAL GOA",30575,470,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"EASTERN GOA",310,157,76,194.001238259835356626395008592433920781,1012.713475369405205426300345496128179391,113.825142258604720223150458052944700822,457.365728921328773781193802351967635849,16536.1,7357748.32423197146006334802131565271576,10948,22124,9702999,3322935862292.66980399735251040614047622,5947841,13458157
"GOA",2009,"EASTERN GOA",405,157,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"EASTERN GOA",460,157,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"EASTERN GOA",10115,157,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"EASTERN GOA",10150,157,57,15.12737505722120221242840229886014907646,76.25259398961013691384660864836409318682,224.471582693607752174024395147006179778,23370.0936727971935155695174362811311543,1288.8,554004.0784396029621800610621952253536196,0,2927,19133219,169792613350430.115011155784285659057384,0,47813238
"GOA",2009,"EASTERN GOA",20202,157,2,0.0116699447151002697777527860811099623299,0.000246987430271868385248506063346813275395,0.7156531387193987920696455546363038043988,0.262569032078444955931311721476386325157,1.4,1.7944575592087569955953761641449731913,0,4,61077,1907663818.797007897916526010925541273056,0,157210
"GOA",2009,"EASTERN GOA",21220,157,3,4.17299455839697407231788552789023487269,10.47198500004354755166373713372030179823,17.34348417526014668783285569954029108817,64.80369810851459414277770120319883467896,355.6,76082.9513573395627029575258297521736748,0,1543,1478301,470823498214.0759829170825541792166317347,0,4430872
"GOA",2009,"EASTERN GOA",21316,157,1,0.0153602536845444674924149020898727561425,0.000347263222187325920021866679803375493866,0.2918448200063448823558831397075823667082,0.0847810601043276171928385448738709701822,1.6,2.52299930163779343752468884382936394734,0,5,24819,615966626.376414413458175987263028307457,0,79445
"GOA",2009,"EASTERN GOA",21354,157,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"EASTERN GOA",21371,157,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"EASTERN GOA",21380,157,2,0.0226929641364681633895548350902520858293,0.000417617622290308292675353533174019639588,0.1653405891481722668995728027149273171212,0.0156747003556206754423223891323071767304,1.8,3.03415075962668035676329027377013932133,0,6,14176,113882655.933197162142578330252452612767,0,38785
"GOA",2009,"EASTERN GOA",23235,157,2,2.48839941232700525506475171714640693437,3.20143700954578345791240516293367447075,0.789216445275260628871673739537123926374,0.3073857308759850712052595097598034575728,211.9,23259.656719317834679332439786524973219,0,534,66787,2233274170.091017918693870977125529334269,0,166500
"GOA",2009,"EASTERN GOA",30060,157,110,1879.648107216662527824266022631738520643,418351.0490244000029007625146568665263006,4258.036695585222128193114370170704459681,1912374.43420866697754374997914352641866,160216.4,3039479383.620492414218711893969140462067,40085,280348,362942738,13894127145360953.2722339619906955145682,106096704,619788772
"GOA",2009,"EASTERN GOA",30120,157,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"EASTERN GOA",30240,157,7,28.76000281168319479855268355310455473789,316.547024006173848705721351443789232645,17.92167894911703985017151959674320128703,123.159006954503379189650891334606120398,2451.5,2299834.44682857849800742288724542353116,0,5683,1527502,894796997445.9244639672934474572690646608,0,3543294
"GOA",2009,"EASTERN GOA",30270,157,21,6.21448649784937207990609827523778673206,3.31139952143585432135969755376779781898,28.5802288916133905338677306841112880774,74.26791670124735653822725959910343657145,529.8,24058.5761642204337392912410753887822038,212,848,2436185,539584643576.9771970756024601990016930509,928859,3943511
"GOA",2009,"EASTERN GOA",30380,157,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOA",2009,"EASTERN GOA",30410,157,6,9.29120816839605440343012679241137428742,37.80449166013524870392764552068933585623,3.58958113698691577136409656070467543167,5.65247163592082944668415410461735415926,792.2,274664.0011473525175765570737397815714993,0,1934,305798,41067354901.932887268551549256768337716,0,747374
"GOA",2009,"EASTERN GOA",66120,157,60,9.64804597227555541800476104335619944527,6.72275233245111352991301440257885051555,778.699396673041778390676587108405568325,57639.7269694485521812366266160833454661,822.4,48843.3509688174831114094344197683963768,371,1274,66374337,418774524910859.872024985675264978183708,24586887,108161787
"GOA",2009,"EASTERN GOA",79000,157,18,0.2086113986453262031756815472080446941951,0.006071707092538794117288393588204206981333,7.35023211520594429669140113344175000401,4.34423073278853136877727458999223206961,17.9,44.11325984287808579471187758376243900526,4,32,626070,31562487486.9888532855586724138806402706,259383,992757
"GOA",2009,"WESTERN GOA",10010,196,0,0,0,0,0,0,0,0,0,0,0,0,0
